annotation_approver,comment_count,created_at,id,label,text,updated_at,user
,0,2022-01-09T23:05:00.971066Z,1,3,"Sibuk liburan luar negeri, pulang2 bawa omicron. Yang di ppkm se indonesia raya.",2022-01-09T23:05:00.971066Z,1
,0,2022-01-11T13:14:22.192488Z,2,2,"Cegah Omicron, Wapres : tidak boleh ada diapensasi karantina  #DukungPemulihanIndonesia .. .. ..  https://t.co/JMGdGHtQr4",2022-01-11T13:14:22.192488Z,1
,0,2022-01-11T13:14:27.706451Z,3,2,"@CNNIndonesia Gk tau omicron, gua tau nya unicorn",2022-01-11T13:14:27.706451Z,1
,0,2022-01-11T13:14:32.360341Z,4,3,"@cybsquad_ itukan tugas mereka, hampir semua artis itukan influencer rezim Jokowi,  dari varian pertama, delta sampai omicron ya bakal mereka pasang badan untuk itu padahal bukan orang kesehatan atau medis, lagian banyak orang medis juga udah banyak jadi penjilat.",2022-01-11T13:14:32.360341Z,1
,0,2022-01-11T13:14:38.215402Z,5,2,"kalo gini mana bisa kuliah offline, orang omicron dah sampe indo.",2022-01-11T13:14:38.215402Z,1
,0,2022-01-11T13:14:42.540685Z,6,3,Putik Omicron,2022-01-11T13:14:42.540685Z,1
,0,2022-01-11T13:14:46.654645Z,7,2,"Orang kayak jalan2 ke turki pulang bawa omicron, dan kita juga nanti yang kena dampak PPKm nya jika ini sampe menyebar... Nasib.",2022-01-11T13:14:46.654645Z,1
,0,2022-01-11T13:14:50.088016Z,8,4,"Populer Sains: super immunity diduga sudah terbentuk, apa hewan terbesar yang bisa ditelan ular, kontak erat dengan pasien varian Omicron.  https://t.co/835sUHsdzL",2022-01-11T13:14:50.088016Z,1
,0,2022-01-11T13:14:54.811167Z,9,3,"Eh, dengar-dengar ada segerombolan keluarga besar ngartis syok kaya raya, pelesiran ke LN, pulang2 bawah omicron ke negara ini. Membawa masalah besar untuk negara dan pemerintah yg sdg brusaha keras keluar dari pandemi. Pemerintah koq sebut nama-nama mereka pakai inisial segalah?",2022-01-11T13:14:54.811167Z,1
,0,2022-01-11T13:14:58.513970Z,10,4,OMICRON tuh ada kat Makkah je ke? Sbb mcm baca hari2 asyik JEMAAH UMRAH je. Pastuh dgn tak vaksin pun boleh lepas 😂 Apa menda nih.,2022-01-11T13:14:58.513970Z,1
,0,2022-01-11T13:15:01.157908Z,11,3,"Si mass asyiappp kesel karna ibu mertuanya di tuding banyak hal oleh netizen indo, lah netizen indo juga kesel lah kemungkinan gara gara situ gabutnya sampe keluar negri terus ibu mertua mu positif omicron, kita yang udah gabut dari 2020 makin deg-degan karna bakalan ada~",2022-01-11T13:15:01.157908Z,1
,0,2022-01-11T13:15:03.213675Z,12,4,"Ahli AS: Gelombang Varian Omicron Cepat Meroket, tapi Cepat Landai  https://t.co/DNGTW23dRL",2022-01-11T13:15:03.213675Z,1
,0,2022-01-11T13:15:04.772843Z,13,4,"Ahli AS: Gelombang Varian Omicron Cepat Meroket, tapi Cepat Landai  https://t.co/yA3mx9x2Ll",2022-01-11T13:15:04.772843Z,1
,0,2022-01-11T13:15:06.731018Z,14,3,"Sebenernya kalau gak pandem, serius aku bakal BIASA AJA.  TAPI KETRIGGER BANGET LIAT ORANG COPOT MASKER DEPANKU PERSIS DAN DEKAT DAN MAKAN.   MANA MUNCUL BARU VARIAN OMICRON TERUS SEKARANG JAKARTA JADI EPISENTRUM FUCK COVID NAMBAH NAMBAH ANXIETY",2022-01-11T13:15:06.731018Z,1
,0,2022-01-11T13:15:09.381727Z,15,2,Baru mau menikmati idup udah di grebek omicron.🙁,2022-01-11T13:15:09.381727Z,1
,0,2022-01-11T13:15:11.562282Z,16,2,@Dikaaanggr Tau tau omicron 🤭,2022-01-11T13:15:11.562282Z,1
,0,2022-01-11T13:15:15.091120Z,17,4,Kluster omicron. Tak balik la Dr. Ismuni 😅,2022-01-11T13:15:15.091120Z,1
,0,2022-01-11T13:15:23.060018Z,18,3,Kea covid Omicron meningkat = Cuti kakitangan KKM dibeku  🖕🏼,2022-01-11T13:15:23.060018Z,1
,0,2022-01-11T13:15:29.015497Z,19,3,"@malakmalakmal promosiin omicron saja pak, biar april PPKM level 7 lagi",2022-01-11T13:15:29.015497Z,1
,0,2022-01-11T13:15:32.825870Z,20,4,"Bersabarlah bakal jemaah umrah, kita tunggu gelombang Omicron ini berakhir  https://t.co/NyY60QYJ7p",2022-01-11T13:15:32.825870Z,1
,0,2022-01-11T13:15:39.003478Z,21,2,"Kalo awal tahun kasus omicron menanjak. Apakabar aku yang nanti bulan maret harus ke jakarta buat kontrol anak 😭 Anankku harus ganti dosis obat, harus echo karna udah 1th ga echo 😭",2022-01-11T13:15:39.003478Z,1
,0,2022-01-11T13:15:46.162319Z,22,3,cape lo dua tahun ngang ngong ngang ngong daring. si bunda malah bawa omicron,2022-01-11T13:15:46.162319Z,1
,0,2022-01-11T13:15:49.049343Z,23,4,Ye government  nhi chahti kisiko rojgar Dena .ya apne India KO progress pe leke jana.khudh khi bhi Jana ho to omicron nhi h .sirf study se hi corona ya omicron hota h.😡😡😡😡,2022-01-11T13:15:49.049343Z,1
,0,2022-01-11T13:15:52.543382Z,24,4,"Warga RI Hati-hati! 10 Negara Omicron Terbanyak, Ada Tetangga  https://t.co/u3vGoESqyD",2022-01-11T13:15:52.543382Z,1
,0,2022-01-11T13:16:01.516335Z,25,3,"Jauh2 nanem rambut pulang2 bawa omicron, ga kapok2 lo kl mau matik mending matik sendiri!",2022-01-11T13:16:01.516335Z,1
,0,2022-01-11T13:16:07.954572Z,26,4,4 Negara Penyumbang Kasus Covid-19 Varian Omicron Terbanyak di Wisma Atlet  https://t.co/iphNXyD7LX,2022-01-11T13:16:07.954572Z,1
,0,2022-01-11T13:16:13.050565Z,27,2,@VIVAcoid Makenya bawa oleh2 jgn omicron bawa popcorn dong,2022-01-11T13:16:13.050565Z,1
,0,2022-01-11T13:16:16.613736Z,28,2,"@Katsu_tempe 2 film pixar tahun ini tapi yg directed sama asian woman skip rilis bioskop langsung ke disney+ (alesannya kalo g omicron, pengen disney+ ""rame"", ato gk takut flop kayak Encanto)",2022-01-11T13:16:16.613736Z,1
,0,2022-01-11T13:16:22.358549Z,29,3,"95 persen kasus omicron adalah import.  Yang dari luar negeri, jangan mangkir dari karantina ya.  yang mangkir fakyu.  https://t.co/HqsuY1NdBC",2022-01-11T13:16:22.358549Z,1
,0,2022-01-11T13:16:26.699415Z,30,1,"Ahli AS: Gelombang Varian Omicron Cepat Meroket, tapi Cepat Landai  https://t.co/78JP61izCg",2022-01-11T13:16:26.699415Z,1
,0,2022-01-11T13:16:33.098533Z,31,1,"@sbyfess pokoknya jgn ke turki, nanti kena omicron🙏",2022-01-11T13:16:33.098533Z,1
,0,2022-01-11T13:16:36.593551Z,32,2,@ProfesorZubairi Rakyat kecil suruh waspada .tuhgolongan Sultan dan artis pada pulang dr jalan jalan keluar negeri bawa Omicron ..mana adilnya ..di PPKM yg kena impaknya rakyat menengah kebawah hanya karena segelintir mereka yg mementingkan diri sendiri...adil kah ini untuk rakyat kecil,2022-01-11T13:16:36.593551Z,1
,0,2022-01-11T13:16:42.318968Z,33,2,capadochia capadochia berujung omicron👏🏻,2022-01-11T13:16:42.318968Z,1
,0,2022-01-11T13:16:46.274087Z,34,3,"@detikcom Gak memiliki nurani sama sekali, kalo mau liburan kenapa gak ke wilayah2 Indonesia aja sekalian membantu bangkitkan pariwisata dalam negeri, malah buang2 uang di negara org lain, giliran kena Omicron merasa gak bersalah, uang banyak tapi empatinya nol",2022-01-11T13:16:46.274087Z,1
,0,2022-01-11T13:16:49.085548Z,35,3,"@BlaterMuda Dia yg bawa pulang omicron, lock down 1 wilayah/negara, usaha2 tiarap lagi, terus pada kena phk lagi..... Luar biasa...",2022-01-11T13:16:49.085548Z,1
,0,2022-01-11T13:16:52.429863Z,36,2,@republikaonline Yang baru yaitu Omicron,2022-01-11T13:16:52.429863Z,1
,0,2022-01-11T13:16:56.159374Z,37,3,Omicron butuh figur❓,2022-01-11T13:16:56.159374Z,1
,0,2022-01-11T13:16:59.371513Z,38,4,"Ashanty, dinyatakan positif COVID-19 dalam tes PCR SGTF. Tes ini merupakan salah satu deteksi awal varian Omicron.  https://t.co/zMBP75trjL",2022-01-11T13:16:59.371513Z,1
,0,2022-01-11T13:17:01.639425Z,39,4,@f4kr0ls00d tkat ni tkda pulak pklong dengaq omicron ni smpai kpd kematian..cuma ikut laporan CDC dri US mgatakan omicron ni meningkatkan jumlah yg admitted ke hospital tpi bukan menambahkan angka kematian..wallahu`alam laa bai..,2022-01-11T13:17:01.639425Z,1
,0,2022-01-11T13:17:03.397848Z,40,4,"Kasus Omicron DKI Makin Ngeri, Nih Buktinya!  https://t.co/8OeVkN5yQs",2022-01-11T13:17:03.397848Z,1
,0,2022-01-11T13:17:11.193658Z,41,1,"@PuteriSrimaya Iya puteri ,momy sibuk persiapan keperluan kk  mau kembali ke Jerman,tapi sepertinya Eropa lagi lockdown mungkin di undur gelombang Omicron..🤔  Tetap waspada ya Puteri ku💪✌️",2022-01-11T13:17:11.193658Z,1
,0,2022-01-11T13:17:14.743894Z,42,3,Drama omicron akan segera di mulai. Para penonton siapkan cemilan kalian . Dan jgan lupa obat tensi na buat adu debat 😎😎😎,2022-01-11T13:17:14.743894Z,1
,0,2022-01-11T13:17:18.359660Z,43,4,"Karena Omicron, Perpustakaan AS Kurangi Jam Pelayanan Lagi  https://t.co/zs4iT3SR3u",2022-01-11T13:17:18.359660Z,1
,0,2022-01-11T13:17:21.990108Z,44,4,semua berita omicron hari ni kbye,2022-01-11T13:17:21.990108Z,1
,0,2022-01-11T13:17:24.955885Z,45,4,"Pulang dari Turki, Ashanty Positif Korona Varian Omicron  https://t.co/JFxYhzCq8E",2022-01-11T13:17:24.955885Z,1
,0,2022-01-09T23:07:06.897632Z,46,3,"org kaya yg healing, org kismin yg dpt oleh oleh omicron",2022-01-09T23:07:06.897632Z,1
,0,2022-01-09T23:07:13.977823Z,47,1,"@ayamanja_ Anjaaaay udh ikut race offline, tahun ini kayaknya kepending lagi byk y, omicron naik. Stay safe running im",2022-01-09T23:07:13.977823Z,1
,0,2022-01-09T23:07:18.352167Z,48,1,"Waspada Varian Omicron, Rumah Sakit Panglima Sebaya Siapkan 90 Tempat Tidur  https://t.co/WCKkQSfrOG #beritapaser",2022-01-09T23:07:18.354208Z,1
,0,2022-01-09T23:07:22.142743Z,49,1,Langkah-langkah melindungi diri dan keluarga anda daripada Covid-19 Varian Omicron.  @MOFmalaysia  #ReopeningSafely #KeluargaMalaysia #MenangBersama #LindungDiriLindungSemua  https://t.co/HbNENA8EOr,2022-01-09T23:07:22.142743Z,1
,0,2022-01-09T23:07:26.082010Z,50,1,Wali Kota Medan Berharap Dinas Kesehatan Melakukan Reaksi Cepat Cegah Omicron  https://t.co/9q0eyfgC1v,2022-01-09T23:07:26.082010Z,1
,0,2022-01-09T23:07:30.497792Z,51,2,"Nang ndeso ki raenek omicron le, enek e pakde icron. Xixixixi",2022-01-09T23:07:30.497792Z,1
,0,2022-01-09T23:07:35.550215Z,52,1,WHO Kembali Ingatkan Masyarakat Tidak Sepelekan Varian Omicron  https://t.co/5etFwUa2YS,2022-01-09T23:07:35.550215Z,1
,0,2022-01-09T23:07:40.972888Z,53,2,@travellingpipi Bukannya agustus musim layangan ya.. pengen pulang ke Medan ah kalau udah reda si omicron ini,2022-01-09T23:07:40.972888Z,1
,0,2022-01-09T23:07:43.903696Z,54,4,Benarkah? Artis Cantik Ashanty Terpapar Virus Corona Jenis Omicron Seusai Liburan Dari Cappadocia Turki  https://t.co/eAevPkgRTQ,2022-01-09T23:07:43.903696Z,1
,0,2022-01-09T23:07:47.130483Z,55,1,Vaksin Sinovac-Sinopharm mampu cegah kematian akibat omicron  #DukungPemulihanIndonesia ..  https://t.co/ybBYJZppj7,2022-01-09T23:07:47.130483Z,1
,0,2022-01-09T23:07:50.731598Z,56,3,@lawjusticeco wkwkwk mau malakin rakyat ya? pakai pajak? atau pakai regulasi baru apalagi? ditambah sekarang ada omicron. Tuh pajakin yg punya PCR dan jualan vaksin!,2022-01-09T23:07:50.731598Z,1
,0,2022-01-09T23:07:55.393105Z,57,1,Lawan penyebaran Omicron,2022-01-09T23:07:55.393105Z,1
,0,2022-01-09T23:07:59.378848Z,58,2,etapi....kalo dipikir pikir omicron ini mirip 2020 reborn gasi anjir?!?!? nanti sekolah di online kan mulai maret saat kasus naik dll.  sumpah mirip pas 2020 ini...,2022-01-09T23:07:59.378848Z,1
,0,2022-01-09T23:08:04.261642Z,59,1,"@feelonelyyy @tubirfess Iyaa omicron emang mutasi melemah dr deltaa, sbnrnya ini kabar baik si berarti covid ga mutasi meningkat -baca dari artikel-😂",2022-01-09T23:08:04.261642Z,1
,0,2022-01-09T23:08:11.363057Z,60,1,@ABSetyono @PlateJohnny @kemkominfo @setkabgoid Pemerintah akan tetap menggunakan level PPKM sebagai basis pengetatan kegiatan masyarakat untuk mencegah penyebaran varian Omicron. @kemkominfo @PlateJohnny,2022-01-09T23:08:11.363057Z,1
,0,2022-01-09T23:08:21.665511Z,61,2,Langkah pemerintah hadapi Omicron,2022-01-09T23:08:21.665511Z,1
,0,2022-01-09T23:08:28.542765Z,62,2,"@amamanaguchi Omicron on the rise kak 🥲 (lagipula gue udh 1 month notice, jadi kudu kerja dolo 😮‍💨)",2022-01-09T23:08:28.542765Z,1
,0,2022-01-09T23:08:42.736806Z,63,1,Jangan pandang remeh varian Omicron – WHO  https://t.co/gSlGc1Yfnn,2022-01-09T23:08:42.736806Z,1
