text,label
"Sibuk liburan luar negeri, pulang2 bawa omicron. Yang di ppkm se indonesia raya.",3
"Cegah Omicron, Wapres : tidak boleh ada diapensasi karantina  #DukungPemulihanIndonesia .. .. ..  https://t.co/JMGdGHtQr4",2
"@CNNIndonesia Gk tau omicron, gua tau nya unicorn",2
"@cybsquad_ itukan tugas mereka, hampir semua artis itukan influencer rezim Jokowi,  dari varian pertama, delta sampai omicron ya bakal mereka pasang badan untuk itu padahal bukan orang kesehatan atau medis, lagian banyak orang medis juga udah banyak jadi penjilat.",3
"kalo gini mana bisa kuliah offline, orang omicron dah sampe indo.",2
Putik Omicron,3
"Orang kayak jalan2 ke turki pulang bawa omicron, dan kita juga nanti yang kena dampak PPKm nya jika ini sampe menyebar... Nasib.",2
"Eh, dengar-dengar ada segerombolan keluarga besar ngartis syok kaya raya, pelesiran ke LN, pulang2 bawah omicron ke negara ini. Membawa masalah besar untuk negara dan pemerintah yg sdg brusaha keras keluar dari pandemi. Pemerintah koq sebut nama-nama mereka pakai inisial segalah?",3
"Si mass asyiappp kesel karna ibu mertuanya di tuding banyak hal oleh netizen indo, lah netizen indo juga kesel lah kemungkinan gara gara situ gabutnya sampe keluar negri terus ibu mertua mu positif omicron, kita yang udah gabut dari 2020 makin deg-degan karna bakalan ada~",3
"Sebenernya kalau gak pandem, serius aku bakal BIASA AJA.  TAPI KETRIGGER BANGET LIAT ORANG COPOT MASKER DEPANKU PERSIS DAN DEKAT DAN MAKAN.   MANA MUNCUL BARU VARIAN OMICRON TERUS SEKARANG JAKARTA JADI EPISENTRUM FUCK COVID NAMBAH NAMBAH ANXIETY",3
Baru mau menikmati idup udah di grebek omicron.🙁,2
@Dikaaanggr Tau tau omicron 🤭,2
Kea covid Omicron meningkat = Cuti kakitangan KKM dibeku  🖕🏼,3
"@malakmalakmal promosiin omicron saja pak, biar april PPKM level 7 lagi",3
"Kalo awal tahun kasus omicron menanjak. Apakabar aku yang nanti bulan maret harus ke jakarta buat kontrol anak 😭 Anankku harus ganti dosis obat, harus echo karna udah 1th ga echo 😭",2
cape lo dua tahun ngang ngong ngang ngong daring. si bunda malah bawa omicron,3
"Jauh2 nanem rambut pulang2 bawa omicron, ga kapok2 lo kl mau matik mending matik sendiri!",3
@VIVAcoid Makenya bawa oleh2 jgn omicron bawa popcorn dong,2
"@Katsu_tempe 2 film pixar tahun ini tapi yg directed sama asian woman skip rilis bioskop langsung ke disney+ (alesannya kalo g omicron, pengen disney+ ""rame"", ato gk takut flop kayak Encanto)",2
"95 persen kasus omicron adalah import.  Yang dari luar negeri, jangan mangkir dari karantina ya.  yang mangkir fakyu.  https://t.co/HqsuY1NdBC",3
"Ahli AS: Gelombang Varian Omicron Cepat Meroket, tapi Cepat Landai  https://t.co/78JP61izCg",1
"@sbyfess pokoknya jgn ke turki, nanti kena omicron🙏",1
@ProfesorZubairi Rakyat kecil suruh waspada .tuhgolongan Sultan dan artis pada pulang dr jalan jalan keluar negeri bawa Omicron ..mana adilnya ..di PPKM yg kena impaknya rakyat menengah kebawah hanya karena segelintir mereka yg mementingkan diri sendiri...adil kah ini untuk rakyat kecil,2
capadochia capadochia berujung omicron👏🏻,2
"@detikcom Gak memiliki nurani sama sekali, kalo mau liburan kenapa gak ke wilayah2 Indonesia aja sekalian membantu bangkitkan pariwisata dalam negeri, malah buang2 uang di negara org lain, giliran kena Omicron merasa gak bersalah, uang banyak tapi empatinya nol",3
"@BlaterMuda Dia yg bawa pulang omicron, lock down 1 wilayah/negara, usaha2 tiarap lagi, terus pada kena phk lagi..... Luar biasa...",3
@republikaonline Yang baru yaitu Omicron,2
Omicron butuh figur❓,3
"@PuteriSrimaya Iya puteri ,momy sibuk persiapan keperluan kk  mau kembali ke Jerman,tapi sepertinya Eropa lagi lockdown mungkin di undur gelombang Omicron..🤔  Tetap waspada ya Puteri ku💪✌️",1
Drama omicron akan segera di mulai. Para penonton siapkan cemilan kalian . Dan jgan lupa obat tensi na buat adu debat 😎😎😎,3
"org kaya yg healing, org kismin yg dpt oleh oleh omicron",3
"@ayamanja_ Anjaaaay udh ikut race offline, tahun ini kayaknya kepending lagi byk y, omicron naik. Stay safe running im",1
"Waspada Varian Omicron, Rumah Sakit Panglima Sebaya Siapkan 90 Tempat Tidur  https://t.co/WCKkQSfrOG #beritapaser",1
Langkah-langkah melindungi diri dan keluarga anda daripada Covid-19 Varian Omicron.  @MOFmalaysia  #ReopeningSafely #KeluargaMalaysia #MenangBersama #LindungDiriLindungSemua  https://t.co/HbNENA8EOr,1
Wali Kota Medan Berharap Dinas Kesehatan Melakukan Reaksi Cepat Cegah Omicron  https://t.co/9q0eyfgC1v,1
"Nang ndeso ki raenek omicron le, enek e pakde icron. Xixixixi",2
WHO Kembali Ingatkan Masyarakat Tidak Sepelekan Varian Omicron  https://t.co/5etFwUa2YS,1
@travellingpipi Bukannya agustus musim layangan ya.. pengen pulang ke Medan ah kalau udah reda si omicron ini,2
Vaksin Sinovac-Sinopharm mampu cegah kematian akibat omicron  #DukungPemulihanIndonesia ..  https://t.co/ybBYJZppj7,1
@lawjusticeco wkwkwk mau malakin rakyat ya? pakai pajak? atau pakai regulasi baru apalagi? ditambah sekarang ada omicron. Tuh pajakin yg punya PCR dan jualan vaksin!,3
Lawan penyebaran Omicron,1
etapi....kalo dipikir pikir omicron ini mirip 2020 reborn gasi anjir?!?!? nanti sekolah di online kan mulai maret saat kasus naik dll.  sumpah mirip pas 2020 ini...,2
"@feelonelyyy @tubirfess Iyaa omicron emang mutasi melemah dr deltaa, sbnrnya ini kabar baik si berarti covid ga mutasi meningkat -baca dari artikel-😂",1
@ABSetyono @PlateJohnny @kemkominfo @setkabgoid Pemerintah akan tetap menggunakan level PPKM sebagai basis pengetatan kegiatan masyarakat untuk mencegah penyebaran varian Omicron. @kemkominfo @PlateJohnny,1
Langkah pemerintah hadapi Omicron,2
"@amamanaguchi Omicron on the rise kak 🥲 (lagipula gue udh 1 month notice, jadi kudu kerja dolo 😮‍💨)",2
Jangan pandang remeh varian Omicron – WHO  https://t.co/gSlGc1Yfnn,1
"@Ayynasa @Askrlfess Lah lu nyuruh org mewajarkan hal kyk gtu. Aneh.  Dah tau lagi bahaya malah kesana, apalagi Turki negara yg banyak omicron.",2
OMICRON NIH BOSS SENGGOL DONG,2
"@sylvlstari @Askrlfess Kayanya bahasa gue salah si, maksudnya wajar tuh ya karena dia punya penyakit jd wajar gtu loh kena omicron, sedangkan keluarga atta engga. Kenapa wajar? Ya karena imunnya lemah. Bahasa apalagi dah yg sesuai",2
"ada kaum borjuis (si orkay) dr turki bawa virus omicron tp antikritik &amp; kaum proletar (para missqueeners) bereaksi keras, hehe udahlah jgn terlalu berharap kepedulian dr mereka yg punya ""uang"" &amp; ""kuasa""",3
"Siapa yg gk bingung dgn 💉C19 sih? Kl anda gk bingung brt sy yg bingung.   Krn @WhoopiGoldberg jg bingung, udah triple 💉C19, gk kemana2 jg, gk nerima tamu jg tp malah terkena Oncom (Omicron) 😂😂😂😂😂  Kl kata beliau waktu (+), “wait, what??!” 🤣🤣😂  #StopPaksaVaksin  https://t.co/MiUcuogJ4c",3
"Omicron sudah ada transmisi lokal, Jangan sembrono nganggap remeh! Waspada jaga diri buat jaga sesama, 3M kuatkan lagi yok, plus jaga imun tubuh: 1. Olahraga (bentar ae) 2. Isipiring merata ( ada Sayuran+Buah2nya bosku) 3. Tidur cukup 4. Jaga fikiran  https://t.co/QEthao8t4w",1
"Hati-hati, Kasus Omicron Masuk di Indonesia  https://t.co/d2dINkfNLG",1
@kompascom Uangnya itu buat beresin sungai pasti lebih berharga… selama ini gak ada hasil apapun anggota DPRD DKI jalan2 paling2 pulang bawa omicron,1
WHO mengingatkan orang ramai untuk tidak menganggap Omicron sebagai ringan  https://t.co/BKSifwuHqq,1
Pemerintah menerbitkan panduan yang berisi langkah-langkah yang harus dilakukan bila tertular Covid-19 terutama varian Omicron. Apa saja?  https://t.co/JYe08CLDIe,1
Siapa yang menyebut gejala di Omicron lebih ringan dari alternatif sebelumnya?  https://t.co/hZoQ1qpwEN,3
"@MrJooee @absolutia Yeps, bukan cuma ""omicron tidak seberbahaya delta"", tapi dampak dari peraturan yg akan dikeluarkan pemerintah. Ini aja kita baru ""bangun"" perekonomiannya, gakebayang kalo 2020 dimulai lagi. Yeps covid Gak hanya kita kena penyakit dan (alhamdulillah) sembuh..",2
"Sudah 3 Kali Vaksin, Pria Ini Meninggal Dunia Setelah Terinfeksi Omicron  https://t.co/Fb9e359bYD #beritajogja #jogja #jogjaistimewa  https://t.co/l3vmeLSKTh",3
"Kesimpulan sementaraku gini:   1. Ada kemungkinan kami kena varian Omicron (dilihat dari gejalanya). Kami jd ga ada mslh penciuman/pengecapan.  2. Meski fully vaccinated ttp kudu waspada.  3. Dibandingkan dgn yg sdh suntik booster, yg blm suntik booster mengalami demam tinggi.",2
Ada mana² laporan tentang kematian di sebabkan Omicron ke? Aku tak perasan.,2
"@iampuriw Orang-orang kaya liburan ke Turki, pulang bawa omicron nulari rakyat yang taat prokes. :(",2
"Jangan anggap remeh! omicron gak berbahaya, cuman cepet aja nyebarnya, gejalanya ringan, santai aja wes.  hehhh, gelombang ketiga bisa terjadi gegara omicron, rumah sakit penuh nanti bisa chaos lagi. yok tetap Waspada jaga diri! #jagasesama   https://t.co/wtrUCPcOJR",1
"Kementerian kesehatan RI menyatakan bahwa ada 16 orang warga negara Indonesia yang baru saja pulang dari Turki yang terkonfirmasi positif Covid-19 varian omicron, di antaranya adalah pesohor Ashanty dan keluarga besannya yang ikut dalam rombongan tersebut dan sudah isolasi.",1
Tengo omicron ☠️,3
"@Askrlfess Dulu kalo abis keluar negeri dinamain covid, sekarang karena ada varian baru jadi dipakelah nama omicron",2
@alextham878 Jangan jadi beban negara. Kelak kalau sampai omicron meledak di Indonesia. Nama Ashanty dan Halilintar bakal menjadi trending lho.,2
"@viAtha_th @KemenkesRI jika omicron (mie kribo) dialami penerima vaksin lengkap harusnya hentikan memaksa vaksin pd masy, ini sih logika gw yg bukan org kesehatan ....",3
"@KompasTV Alamat dirumahkan lagi, omicron naik terus😢",2
"Kami bergejala ringan bisa jd krn memang kenanya Omicron yg katanya gejalanya ringan, bisa jadi krn perlindungan vaksin jd gak kena gejala parah. Kami semua sudah fully vaccinated.  Dari kami ber-4 yg terkonfirmasi positif, yg pakai demam tinggi adlh yg blm sempat suntik booster.",1
"Baru 5 hari PTM, kembali BDR sampai waktu tak ditentukan 😏  Omicron oh omicron",2
