text,text_cleaned,text_removal,text_normalized,text_manual_replaced,text_without_stopword,label
"Sibuk liburan luar negeri, pulang2 bawa omicron. Yang di ppkm se indonesia raya.",sibuk liburan luar negeri pulang bawa omicron yang di ppkm se indonesia raya,sibuk libur negeri pulang bawa omicron ppkm indonesia raya,sibuk libur negeri pulang bawa omicron ppkm indonesia raya,sibuk libur negeri pulang bawa omicron ppkm indonesia raya,sibuk libur negeri pulang bawa omicron ppkm indonesia raya,0
"Cegah Omicron, Wapres : tidak boleh ada diapensasi karantina .. .. ..",cegah omicron wapres tidak boleh ada diapensasi karantina,cegah omicron wapres diapensasi karantina,cegah omicron wapres diapensasi karantina,cegah omicron wapres diapensasi karantina,cegah omicron wapres diapensasi karantina,1
"Gk tau omicron, gua tau nya unicorn",gk tau omicron gua tau nya unicorn,gk tau omicron gua tau unicorn,enggak tahu omicron saya tahu unicorn,enggak tahu omicron aku tahu unicorn,tidak tahu omicron aku tahu unicorn,1
"itukan tugas mereka, hampir semua artis itukan influencer rezim Jokowi, dari varian pertama, delta sampai omicron ya bakal mereka pasang badan untuk itu padahal bukan orang kesehatan atau medis, lagian banyak orang medis juga udah banyak jadi penjilat.",itukan tugas mereka hampir semua artis itukan influencer rezim jokowi dari varian pertama delta sampai omicron ya bakal mereka pasang badan untuk itu padahal bukan orang kesehatan atau medis lagian banyak orang medis juga udah banyak jadi penjilat,tugas artis influencer rezim jokowi varian delta omicron pasang badan sehat medis medis udah jilat,tugas artis influencer rezim jokowi varian delta omicron pasang badan sehat medis medis sudah jilat,tugas artis influencer rezim jokowi varian delta omicron pasang badan sehat medis medis sudah jilat,tugas artis influencer rezim jokowi varian delta omicron pasang badan sehat medis medis sudah jilat,0
"kalo gini mana bisa kuliah offline, orang omicron dah sampe indo.",kalo gini mana bisa kuliah offline orang omicron dah sampe indo,kalo gin kuliah offline omicron dah sampe indo,kalau gin kuliah offline omicron deh sampai indonesia,kalau gini kuliah offline omicron deh sampai indonesia,kalau begini kuliah offline omicron deh sampai indonesia,1
Putik Omicron,putik omicron,putik omicron,putik omicron,putik omicron,putik omicron,0
"Orang kayak jalan2 ke turki pulang bawa omicron, dan kita juga nanti yang kena dampak PPKm nya jika ini sampe menyebar... Nasib.",orang kayak jalan ke turki pulang bawa omicron dan kita juga nanti yang kena dampak ppkm nya jika ini sampe menyebar nasib,kayak jalan turki pulang bawa omicron dampak ppkm sampe sebar nasib,kayak jalan turki pulang bawa omicron dampak ppkm sampai sebar nasib,kayak jalan turki pulang bawa omicron dampak ppkm sampai sebar nasib,kayak jalan turki pulang bawa omicron dampak ppkm sampai sebar nasib,1
"Eh, dengar-dengar ada segerombolan keluarga besar ngartis syok kaya raya, pelesiran ke LN, pulang2 bawah omicron ke negara ini. Membawa masalah besar untuk negara dan pemerintah yg sdg brusaha keras keluar dari pandemi. Pemerintah koq sebut nama-nama mereka pakai inisial segalah?",eh dengar dengar ada segerombolan keluarga besar ngartis syok kaya raya pelesiran ke ln pulang bawah omicron ke negara ini membawa masalah besar untuk negara dan pemerintah yg sdg brusaha keras keluar dari pandemi pemerintah koq sebut nama nama mereka pakai inisial segalah,eh dengar dengar gerombol keluarga ngartis syok kaya raya pelesir ln pulang omicron negara bawa negara perintah yg sdg brusaha keras pandemi perintah koq nama nama pakai inisial sega,eh dengar dengar gerombol keluarga ngartis syok kayak raya pelesir ln pulang omicron negara bawa negara perintah yang sedang berusaha keras pandemi perintah kok nama nama pakai inisial sega,eh dengar dengar gerombol keluarga ngartis syok kayak raya pelesir ln pulang omicron negara bawa negara perintah yang sedang berusaha keras pandemi perintah kok nama nama pakai inisial sega,eh dengar dengar gerombol keluarga ngartis syok kayak raya pelesir ln pulang omicron negara bawa negara perintah yang sedang usaha keras pandemi perintah kok nama nama pakai inisial sega,0
"Si mass asyiappp kesel karna ibu mertuanya di tuding banyak hal oleh netizen indo, lah netizen indo juga kesel lah kemungkinan gara gara situ gabutnya sampe keluar negri terus ibu mertua mu positif omicron, kita yang udah gabut dari makin deg-degan karna bakalan ada~",si mass asyiappp kesel karna ibu mertuanya di tuding banyak hal oleh netizen indo lah netizen indo juga kesel lah kemungkinan gara gara situ gabutnya sampe keluar negri terus ibu mertua mu positif omicron kita yang udah gabut dari makin deg degan karna bakalan ada,si mass asyiappp kesel karna mertua tuding netizen indo netizen indo kesel gara gara situ gabutnya sampe negri mertua mu positif omicron udah gabut deg degan karna,sih mass asyiappp kesel karena mertua tuding netizen indonesia netizen indonesia kesel gara gara situ gabutnya sampai negeri mertua mu positif omicron sudah gabut deg degan karena,sih mass asyiappp kesel karena mertua tuding netizen indonesia netizen indonesia kesel gara gara situ gabutnya sampai negeri mertua mu positif omicron sudah gabut deg degan karena,sih mass asyiappp kesel karena mertua tuding netizen indonesia netizen indonesia kesel gara gara situ gabutnya sampai negeri mertua mu positif omicron sudah gabut deg degan karena,0
"Sebenernya kalau gak pandem, serius aku bakal BIASA AJA. TAPI KETRIGGER BANGET LIAT ORANG COPOT MASKER DEPANKU PERSIS DAN DEKAT DAN MAKAN. MANA MUNCUL BARU VARIAN OMICRON TERUS SEKARANG JAKARTA JADI EPISENTRUM FUCK COVID NAMBAH NAMBAH ANXIETY",sebenernya kalau gak pandem serius aku bakal biasa aja tapi ketrigger banget liat orang copot masker depanku persis dan dekat dan makan mana muncul baru varian omicron terus sekarang jakarta jadi episentrum fuck covid nambah nambah anxiety,sebenernya gak pandem serius aja ketrigger banget liat copot masker persis makan muncul varian omicron jakarta episentrum fuck covid nambah nambah anxiety,sebenarnya enggak pandem serius saja ketrigger banget lihat copot masker persis makan muncul varian omicron jakarta episentrum fuck covid menambah menambah anxiety,sebenarnya enggak pandem serius saja ketrigger banget lihat copot masker persis makan muncul varian omicron jakarta episentrum fuck covid menambah menambah anxiety,benar tidak pandem serius saja ketrigger banget lihat copot masker persis makan muncul varian omicron jakarta episentrum fuck covid tambah tambah anxiety,0
